PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_NAME;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_CCMLITE;REQUIREMENTS_ATTRIBUTES_IAAS;REQUIREMENTS_ATTRIBUTES_PAAS;REQUIREMENTS_ATTRIBUTES_SAAS;REQUIREMENTS_ATTRIBUTES_SCOPEAPPLICABILITY;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;195304366889;eu-north-1;2026-07-10 21:26:29.483257;SEF-08;Maintain points of contact for applicable regulation authorities, national and local law enforcement, and other legal jurisdictional authorities.;Points of Contact Maintenance;Security Incident Management, E-Discovery, & Cloud Forensics;No;Shared;Shared;Shared;[{'ReferenceId': 'AICPA TSC 2017', 'Identifiers': ['CC2.3']}, {'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['SEF-01']}, {'ReferenceId': 'CIS v8.0', 'Identifiers': ['17.2']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['1.6.2', '1.6.3']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['SM2.2']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: 4.2', '27001: A.6.1.3', '27002: 6.1.3', '27017: 6.1.3', '27018: 6.1.3', '27001: A.16.1.1', '27002: 16.1.1', '27001: A.18.1.1', '27002: 18.1.1', '27017: 18.1.1', '27018: 18.1.1']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: A.5.5', '27001: A.5.24', '27002: 5.24 Incident management procedure (d)']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['IR-4', 'IR-4(8)', 'IR-6', 'IR-6(3)', 'IR-7', 'IR-7(2)', 'PM-21', 'PM-23', 'PM-26']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['ID.GV-2', 'RS.CO-3', 'RS.CO-4']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['GV.RR-02', 'RS.CO-02', 'RS.CO-03']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['12.10.1']}];MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Contact Information.;arn:aws:iam::195304366889:root;account_maintain_current_contact_details;False;195304366889;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;195304366889;eu-north-1;2026-07-10 21:26:29.483257;SEF-08;Maintain points of contact for applicable regulation authorities, national and local law enforcement, and other legal jurisdictional authorities.;Points of Contact Maintenance;Security Incident Management, E-Discovery, & Cloud Forensics;No;Shared;Shared;Shared;[{'ReferenceId': 'AICPA TSC 2017', 'Identifiers': ['CC2.3']}, {'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['SEF-01']}, {'ReferenceId': 'CIS v8.0', 'Identifiers': ['17.2']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['1.6.2', '1.6.3']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['SM2.2']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: 4.2', '27001: A.6.1.3', '27002: 6.1.3', '27017: 6.1.3', '27018: 6.1.3', '27001: A.16.1.1', '27002: 16.1.1', '27001: A.18.1.1', '27002: 18.1.1', '27017: 18.1.1', '27018: 18.1.1']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: A.5.5', '27001: A.5.24', '27002: 5.24 Incident management procedure (d)']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['IR-4', 'IR-4(8)', 'IR-6', 'IR-6(3)', 'IR-7', 'IR-7(2)', 'PM-21', 'PM-23', 'PM-26']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['ID.GV-2', 'RS.CO-3', 'RS.CO-4']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['GV.RR-02', 'RS.CO-02', 'RS.CO-03']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['12.10.1']}];MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;arn:aws:iam::195304366889:root;account_security_contact_information_is_registered;False;195304366889;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
